ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9276577,HW420770,8/23/2013 16:40,007XX S ALBANY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,658,TRUE,FALSE,1134,11,24,27,18,1155766,1896834,2013,ERROR,41.87270808,-87.70358032,"(41.872708075, -87.703580324)"
1603336,G368431,6/24/2001 19:52,001XX W CHICAGO AV,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,PARKING LOT/GARAGE(NON.RESID.),3948,TRUE,FALSE,1832,NA,NA,NA,26,1175257,1905662,2001,ERROR,41.89651792,-87.63175541,"(41.896517917, -87.631755414)"
7210353,HR608426,10/26/2009 8:40,015XX S PULASKI RD,2024,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,1124,TRUE,FALSE,1012,10,24,29,18,1149936,1891869,2009,4/11/2009 9:53,41.85919891,-87.72511422,"(41.859198911, -87.725114223)"
4471848,HL301576,4/17/2005 20:50,006XX E GRAND AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER,3257,FALSE,FALSE,1834,18,42,8,26,1180772,1904096,2005,11/6/2007 15:52,41.89209521,-87.61154847,"(41.892095212, -87.611548469)"
7637700,HS441827,8/2/2010 12:45,028XX W 22ND PL,1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,2297,FALSE,FALSE,1033,10,12,30,17,1157857,1888970,2010,ERROR,41.85108608,-87.69611758,"(41.851086084, -87.696117577)"
4703044,HM309199,4/24/2006 0:00,012XX N CLARK ST,820,THEFT,$500 AND UNDER,STREET,20,FALSE,FALSE,1821,18,42,8,6,1175274,1908508,2006,4/12/2014 12:43,41.9043271,-87.63160748,"(41.904327102, -87.631607477)"
3961270,HL324634,4/29/2005 8:30,005XX W DIVISION ST,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CHA HALLWAY/STAIRWELL/ELEVATOR,4726,FALSE,FALSE,1821,18,27,8,04B,1172300,1908305,2005,ERROR,41.9038363,-87.64253769,"(41.903836297, -87.642537685)"
2281333,HH546276,7/30/2002 13:30,069XX S EMERALD AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,864,TRUE,FALSE,732,NA,6,68,18,1172538,1859044,2002,ERROR,41.76865457,-87.64311745,"(41.76865457, -87.643117449)"
1837655,G672065,11/7/2001 21:45,062XX S ST LAWRENCE AV,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,4001,TRUE,FALSE,313,NA,NA,NA,14,1181266,1863792,2001,ERROR,41.78148689,-87.61097904,"(41.78148689, -87.610979035)"
1842160,G679483,11/11/2001 3:30,021XX N CAMPBELL AV,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1986,FALSE,FALSE,1431,NA,NA,NA,7,1159571,1914405,2001,ERROR,41.92084692,-87.68912601,"(41.920846924, -87.689126006)"
2636288,HJ216645,3/3/2003 20:48,045XX W WASHINGTON BLVD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,1393,TRUE,FALSE,1113,NA,28,26,16,1146373,1900156,2003,ERROR,41.88200797,-87.73798203,"(41.882007967, -87.737982025)"
1496183,G233892,4/24/2001 9:00,004XX E MC FETRIDGE DR,820,THEFT,$500 AND UNDER,PARK PROPERTY,187,FALSE,FALSE,133,NA,NA,NA,6,1179031,1894246,2001,4/12/2014 12:43,41.86510631,-87.61824372,"(41.865106307, -87.618243723)"
3931945,HL305935,4/19/2005 16:00,015XX N ARTESIAN AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),1386,FALSE,FALSE,1423,14,1,24,6,1159834,1910187,2005,4/12/2014 12:43,41.90926699,-87.68827625,"(41.909266991, -87.688276249)"
5621453,HN427508,6/25/2007 13:25,040XX W DICKENS AVE,2022,NARCOTICS,POSS: COCAINE,STREET,2783,TRUE,FALSE,2525,25,30,20,18,1149318,1913614,2007,1/7/2007 2:00,41.91888152,-87.72681854,"(41.918881522, -87.726818542)"
1709847,G508926,8/26/2001 2:00,010XX N MONTICELLO AV,460,BATTERY,SIMPLE,RESIDENCE,3761,FALSE,TRUE,1112,NA,NA,NA,08B,1151889,1906869,2001,ERROR,41.90032233,-87.71755027,"(41.900322332, -87.717550267)"
2306701,HH595350,8/21/2002 5:45,001XX W POLK ST,915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,1890,FALSE,FALSE,131,NA,2,32,7,1175097,1896746,2002,ERROR,41.87205548,-87.63261045,"(41.872055484, -87.63261045)"
6581196,HP653741,10/7/2008 3:00,034XX W SCHOOL ST,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),312,FALSE,FALSE,1732,17,35,21,6,1152747,1921690,2008,ERROR,41.94097549,-87.71400563,"(41.940975485, -87.714005626)"
5443942,HN272087,4/8/2007 15:44,059XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,1938,FALSE,FALSE,713,7,16,67,14,1167399,1865013,2007,ERROR,41.78514588,-87.66178359,"(41.785145883, -87.661783592)"
3792137,HK836619,12/30/2004 18:30,131XX S VERNON AVE,2027,NARCOTICS,POSS: CRACK,RESIDENCE PORCH/HALLWAY,4455,TRUE,FALSE,533,5,9,54,18,1181519,1818462,2004,ERROR,41.6570899,-87.61144499,"(41.657089903, -87.61144499)"
9206054,HW352076,7/7/2013 15:00,016XX W 38TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,975,TRUE,TRUE,912,9,11,59,08B,1165971,1879568,2013,8/7/2013 12:07,41.82511697,-87.66660531,"(41.825116974, -87.666605306)"
4720801,HM327230,5/3/2006 5:03,026XX E 73RD ST,334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,SIDEWALK,4270,FALSE,FALSE,334,3,7,43,3,1194873,1857481,2006,7/5/2006 3:57,41.76384458,-87.56130123,"(41.763844577, -87.561301231)"
7034576,HR441456,7/21/2009 21:05,107XX S HALSTED ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,GAS STATION,1442,TRUE,FALSE,2233,22,34,75,3,1172840,1833829,2009,ERROR,41.69945453,-87.64275207,"(41.699454527, -87.642752065)"
8348862,HT582100,11/9/2011 15:00,108XX S BENSLEY AVE,560,ASSAULT,SIMPLE,SIDEWALK,844,FALSE,FALSE,434,4,10,51,08A,1194612,1833847,2011,ERROR,41.69899722,-87.56303307,"(41.698997218, -87.563033068)"
2882234,HJ552553,8/8/2003 22:00,109XX S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,664,FALSE,FALSE,513,5,9,49,14,1178490,1832061,2003,ERROR,41.6944767,-87.62211779,"(41.694476704, -87.622117791)"
8571720,HV245210,12/26/2011 9:00,038XX W NORTH AVE,842,THEFT,AGG: FINANCIAL ID THEFT,BANK,4830,FALSE,FALSE,2535,25,30,23,6,1150240,1910394,2011,ERROR,41.9100276,-87.72351511,"(41.910027597, -87.723515111)"
3479397,HK551539,8/11/2004 11:00,014XX S CHRISTIANA AVE,810,THEFT,OVER $500,STREET,3767,FALSE,FALSE,1021,10,24,29,6,1154306,1892825,2004,4/12/2014 12:43,41.86173621,-87.70904772,"(41.861736212, -87.709047718)"
